StudentID|StudentName|DoB|Gender|ProgrammeMinor
575b9408b6daa2ddcefbcf6d81c9b4c9|Algeria|12/4/1998|F|English
232bf11cb81bcdb269f76a08fde8b947|Angola|10/15/1997|F|English
9e7002d53d4db7bfad4f5cf419b0c126|Benin|6/26/1994|M|Unclassified
6cd50fb3091b0a9d3c1ac2cf52441390|Botswana|3/3/1999|M|Mathematics
28814f84db09b59b95f863b9c143c3a9|Burkina Faso|6/5/1999|F|History
28765464efe1b6583610335965b4d75a|Burundi|10/1/2001|M|Civic Education
4be25f9d27da71d4e98775668b5b12af|Cameroon|8/25/1983|F|Religious Studies
81975d05c61d8de83f46487739fd77cf|Cape Verde|2/9/2000|M|Civic Education
aa293d284f52b08da5ba7fe7792fe9c3|Central African Republic|7/23/1999|M|Unclassified
e03653dedd6f4e142f4aca131995964f|Chad|1/1/2002|M|Art And Design Studies
4234d1794dd33c1b6ed975eab5148040|Comoros|11/22/1999|F|Civic Education
b2ce07e6bc0b55222aa66fcc1b16b732|Democratic Republic of the Congo|6/19/1999|F|Religious Studies
902f92c09660b797958acb27421fd9ac|Djibouti|9/4/1998|F|Unclassified
e31959fe2842dacea4d16d36e9813620|Egypt|7/27/1995|F|History
a38c2761908be5cef4a98ef5b3402ac9|Equatorial Guinea|2/17/1999|F|Geography
c9c9f116f74ac9d7e60dc415523dfeff|Eritrea|12/11/2000|F|Religious Studies
5b6c44e2e66685a59e42673eff6d5f17|Eswatini|8/21/1999|F|Unclassified
e299d7cb0f7866cce7d90da2af14047c|Ethiopia|12/20/2001|M|English
fceb5af40df295d85851f390f4f8d78d|Gabon|1/8/1996|M|Unclassified
e2a96e074e1d8a6f6de56abbd4a4d8dc|Gambia|12/6/2000|M|French
e7400496f1ce70cb62c2c44ca2ddc469|Ghana|3/23/2000|M|Art And Design Studies
8e4d9eeed250a9d065ac2bb8bdc67b30|Guinea|12/25/1995|F|Unclassified
2d65f5236205dd23c6a8212627568fb8|Guinea-Bissau|10/12/1997|M|History
cea34f6b4f356c28fc2b766ae46b6d6c|Ivory Coast|6/6/1996|M|Geography
94984a8c4896946d9bafd24959cb6181|Kenya|6/22/1998|M|Mathematics
e99bb6b91ef51dbe4eec9340dc7c68cf|Lesotho|10/11/1997|M|Mathematics
642cab67fc263bb61ae4ccbd577c8aa4|Liberia|11/10/2000|F|English
742b8abe5776a6d942a92ce7dc7d84a0|Libya|3/23/1999|F|Mathematics
b5bcce260d9e303ca0e63f055187ed28|Madagascar|5/2/1999|F|History
70965feb0441ff7fc1982fc5c509136e|Malawi|7/23/1997|F|Religious Studies
e90c93ceb8ccdcdf3b797f47edee866d|Mali|2/27/1999|F|Unclassified
d7fe73b6846dfc672236e636aa2cf6b5|Mauritania|11/16/1992|M|Civic Education
07f3ca235faaa1c9ad16facef5526d8b|Mauritius|8/28/1997|M|Religious Studies
9c05c40b81fd906b1585e231c0d896f1|Mayotte|7/8/1999|F|Unclassified
4d4a1722d8e85909a576da2c42878ff0|Morocco|U|U|Unclassified
a6d3bea3fa66775952e080b90bb0c4f1|Mozambique|12/21/1998|F|Unclassified
69f4287626aee77f93e2c891b518838b|Namibia|3/7/1998|F|Mathematics
bf2ec44b27fc25c6fd8a38792b9ef2a8|Niger|7/12/1998|M|History
5d839147c83e283c1d1bb705dc50586f|Nigeria|10/8/1994|M|Geography
afe1f0ece97fc8839cc4822a6786db0a|Republic of the Congo|8/17/1997|M|Mathematics
9d7ed5d77d647e89c3cc11757d651dc2|Rwanda|6/25/1998|M|Mathematics
0e8a42d09d8133649eb74c357ae6f6bf|Réunion|7/26/1994|F|Religious Studies
1f175a7a118c83cd8a0d8d1de74fda56|Saint Helena|10/12/1996|M|Mathematics
9986531359550785caffb2032622437f|Senegal|12/2/1998|F|Unclassified
d2e4449b45608e33e472d939a73868f7|Seychelles|11/21/1997|M|Geography
97527dec0ae1a703599581d4f25dfbce|Sierra Leone|6/8/1995|F|Civic Education
921855f753932de762b780405a50bdf7|Somalia|12/24/1999|M|French
c89bc418c38da77213c6c6e03cac2510|South Africa|12/23/2000|F|History
0a6355f86240762961997e70c5e7087d|South Sudan|11/20/1998|M|English
74458a3d3e5f3074226b1f9fa23c9163|Sudan|4/4/1999|M|Civic Education
7958382db9f40038b6597b6378669603|São Tomé and Príncipe|11/7/1989|F|Unclassified
c03b1123e45fa00da3142e0424ee5eec|Tanzania|5/6/1998|M|English
1e746c5c85c4c0de3a0858b0dd047476|Togo|3/2/2001|M|Civic Education
d6dacba23ab4a1d5b72f223bfb010a05|Tunisia|2/15/1999|F|Civic Education
53b3c88ea00c4f0e137b4e6fe7bd23f1|Uganda|3/15/1998|M|Unclassified
1bdb61bdbf5bc9a2cdc5db037ab610e0|Western Sahara|1/20/1999|F|Religious Studies
b0aa0804e676a38255af4fd70236af7c|Zambia|7/25/2000|M|Mathematics
9d5116a2451bc98c2b46b93acbc1b4f0|Zimbabwe|9/14/1998|F|Religious Studies
43f9f6077d6be60269ad8cfb3fca0d49|Sahrawi Republic|6/28/1999|F|History
bd9f92992678e083a8a4d2c52de297a7|Somaliland|3/3/1998|M|Mathematics
b14c3890a187a7798035ac60d89b54f7|Ceuta|12/1/2001|M|Mathematics
